Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
WEM,Ireland,-0.610978099463667,-0.651646954019594,-1.0586539331331839e-16,-0.5451987006681096,0.25808759584993024,-0.46488365701235146,0.6147105241943764,-0.43547859505585634,-0.4123938774423473,1.0305851682119158,-0.4258189584965572,-0.31089642698137787,-0.3999254605550381,-0.3136233868493077,-0.4312540357161948,-0.20314789186313245,-0.2856585694655738,-0.45697473252072496,-0.37734556912345885,-0.492801001485365,-0.2392997755339208,-0.38999417270152775,0.0,-0.5412657234086824,-0.48573032246484066,0.07156357330853064,0.0,0.4972866557051284,-4.0188387772861024e-16,-0.41989342905942545,-0.39227272354267645,-0.3120016933977657,-0.327640987858171,-0.490059879876474
WEM,Netherlands,-0.6105525912097375,-0.651646954019594,-1.0586539331331839e-16,-0.17423732170317813,0.44306827631348494,-0.2757847077996101,0.0934209305368387,-0.3969582990708505,-0.30644205352283,0.9678136046655269,-0.347722948441556,0.495681296201255,-0.22960991899123268,0.4652921941638542,-0.29838947548959904,1.351391845727871,-0.21806480405214507,-0.0652816437832387,-0.36733419826271246,-0.08318584498116594,0.05226440060579601,-0.39140938209514653,0.0,-0.16237805774862146,-0.3105659766670078,0.48877528478765025,0.0,0.9165779482707248,-4.0188387772861024e-16,-0.3423945698471212,-0.22194019820606178,0.6350603052708662,0.6301646068076372,-0.45277190837073994
WEM,Sweden,-0.610978099463667,-0.651646954019594,-1.0586539331331839e-16,-0.32649789620598757,0.7527985712476758,-0.21932839719214536,1.2132951451302418,-0.4194125718055666,-0.3609255614803364,1.2276699237787312,-0.4166229382323452,-0.11538066640449376,-0.3847497845810837,0.011564201177623948,-0.4238681585521527,-0.07639287703036061,-0.27741904188187966,0.02917695501338074,-0.3605546778278821,0.19137823129075351,-0.1543709628049477,-0.06714652580588203,0.0,-0.317891965440028,-0.25346043792183987,1.2239403441709082,0.0,0.06876896785014429,-4.0188387772861024e-16,-0.41067944589354977,-0.37704672896679436,-0.08200252534807209,0.07988579576112662,-0.4760078274173555
WEM,Switzerland,-0.5281044377975106,0.7524568476869283,-0.58655977003381,-0.15486819279036496,2.1627025610337163,-0.017807240717911302,3.0059191122455498,-0.4152936942874552,-0.34977458992772403,1.188964351280786,-0.42621308514009143,0.0811922122287686,-0.3132671868506545,0.5580426528628214,-0.43343406405190477,-0.06275495941441532,-0.2846401006847977,0.15327863706201708,-0.37728408085251125,-0.07992679016579479,5.839016556901729,0.32006602383586535,-0.5790440337108107,-0.27329996027685266,-0.026073790897036382,1.1604313207158328,-0.8266352588828205,0.13499937693089567,-0.7789192117859084,-0.42116953005419405,-0.32652788728930804,-0.03477670679428764,0.43741718778154376,-0.46117207148966494
WEM,United Kingdom,-0.6007310236436256,-0.6419780205063411,-0.667524666660524,1.878718419257103,0.9777810518267002,1.915258332422267,1.2231558782328122,-0.17729079294807823,0.3330851425462523,1.08125953709945,-0.14371374217252436,4.370941395113312,0.16427845080273015,3.7972686467264283,-0.22341774375877682,3.665842066269015,-0.2490334842303361,4.644903030520553,-0.1986886131310125,2.5006866628730804,0.0010208102314743376,-0.40566431720627905,-0.6600754964822172,1.287221654745264,1.8656139430495913,0.4523691922802241,0.0,0.7626623607618106,-1.0917172004004845,-0.2023087093819252,0.03746094845954852,3.7541492611159364,3.5826000506739866,-0.36031455513234967
WEM,Other WEM,-0.577344810985851,-0.3637434983366047,-0.658375608509656,-0.5135950525060273,-0.002249480670259945,-0.5136897710720415,1.1956207483671153,-0.4273922549582393,8.004311620593707e-17,0.0,-0.42084891759090837,-0.2650245164143984,-0.38969577663859534,-0.1067442390212958,-0.4298443126368333,0.8352988831122284,-0.2842943786786109,0.27975596410568515,-0.36713713415390004,0.1835879445024656,0.15695784131581678,0.0316343277074261,-0.6509159149201316,-0.5087705042590454,-0.19923252128561036,0.332825552038186,-0.15151972818468235,0.6912231050809159,-0.9724006471460733,-0.41497996721936564,-0.3822981067048729,-0.25911582504267416,-0.10358656334074255,7.602001069626532e-17
ECA,Bulgaria,-0.35288292904737606,-0.026913189127638206,-0.5644794222284837,-0.5417519725926319,-0.1947442255285151,-0.5313922188878373,-0.4796116472939873,-0.427626029135832,-0.4304583390522996,-0.8002234060623049,-0.3522012838711769,-0.5288724909312673,-0.3760932291646186,-0.5107123785969959,-0.32286492443315806,-0.586897257287855,-0.2850571605632451,-0.5351588768654035,-0.3369264476950085,-0.48268859283071885,-0.42780220540662584,-0.5040782840612311,-0.5569125216757982,-0.5376503945461892,-0.5446016747768566,-0.6271692053237453,-0.06999360456565491,-0.8450314530527969,0.13326869937360253,-0.3460888061411558,-0.3684304091511557,-0.5686333934526886,-0.5758084284598229,-0.35320946958325
ECA,Croatia,-0.5032059269519995,0.5132149514093357,-0.590490993832987,-0.4007612271053694,2.207463133409331,-0.45940547430960876,0.8281893789215089,-0.4368602953059047,-0.4399635253680937,-0.7849465265611394,-0.4214643562434697,-0.47733566655119775,-0.3943752877863856,-0.5000796718818262,-0.42491219268303976,-0.5427602563789613,-0.28598707612858104,-0.5089267259015293,-0.3743449475723986,-0.40645075992674384,-0.2497728752105996,-0.8805308087304495,-0.5830778750224631,-0.39374207190425753,-0.47718465680799554,1.426445444559051,-0.7548017420042613,-0.7817516524046453,-0.6734655096095754,-0.4155774251653971,-0.3867162584948958,-0.5079869604391096,-0.5624276660156451,-0.40338098245258736
ECA,Georgia,-0.3858075021383191,3.228750351425688,-0.5632067797036809,-0.5597820763409872,0.291263998952648,-0.5502823195942675,-0.3045765429053965,-0.4376065771945483,-0.44351711380238296,-1.009183295619173,-0.35304806880901063,-0.5462148005520064,-0.3225646801813524,-0.5227472752374758,-0.29649455946158454,-0.6009533409733849,-0.27175344507316257,-0.5440795171938868,-0.3738374544492665,-0.5046226979775725,-0.24359376399914934,1.3681788116508649,-0.5557463766741337,-0.5560734205524724,-0.5646033284507225,0.5876430160123061,-0.12187740357501385,-0.9698017948093837,0.38175007975346803,-0.34648484548495956,-0.31519633570151556,-0.5890513965053177,-0.5910189145183244,4.197456327209608
ECA,Hungary,-0.31979094287291965,-0.029951308648571,-0.41157607888268033,-0.3550728460273205,0.5672237018903044,-0.46558447921358126,-0.2355881485459825,-0.41919034973567093,-0.42343483481777383,-0.8611019452877593,-0.2971967648985718,-0.4806914377974976,-0.3483673906182221,-0.5048297873492233,-0.33979774450745476,-0.5790941501086829,-0.18133186092039894,-0.45643369214070423,-0.21740299481440126,-0.382820624189595,-0.40607501127803425,-0.9476544550378563,-0.4038765724946047,-0.3469442205458063,-0.4835067053806616,0.1762943065558832,-0.34125196734004876,-0.7847087635282017,0.10263977891169135,-0.29079436773598477,-0.34075642188903094,-0.5122741666866354,-0.5621810446834798,-0.418281514280993
